profile,seed,steps,ticks,score,damage_pct,stars,terminated,truncated,wall_breakers_deployed,wall_breakers_alive_final,wall_breaker_explosions,wall_breakers_dead_without_explosion,wb_wall_damage,wb_unique_walls_damaged,wb_unique_walls_destroyed,wb_fresh_walls_destroyed,wb_predamaged_walls_destroyed,final_walls_damaged,final_walls_destroyed,total_wall_damage
hard,220000,56,558,0.22088100686498857,0.22088100686498857,0,True,False,10,0,10,0,7500.0,25,25,0,25,30,29,8724.5
hard,220001,53,530,0.3055491990846682,0.3055491990846682,0,True,False,10,0,7,3,5250.0,20,15,0,15,23,18,6150.0
hard,220002,53,529,0.19965675057208238,0.19965675057208238,0,True,False,10,0,10,0,6900.0,27,19,0,19,31,21,7727.5
hard,220003,57,568,0.2994851258581236,0.2994851258581236,0,True,False,10,0,10,0,7500.0,30,20,0,20,40,28,10271.0
hard,220004,54,536,1.41058352402746,0.41058352402745996,1,True,False,10,0,10,0,5700.0,19,19,0,19,21,21,6300.0
hard,220005,55,547,0.3515446224256293,0.3515446224256293,0,True,False,10,0,10,0,7500.0,26,24,0,24,28,27,8250.0
hard,220006,55,543,0.18558352402745995,0.18558352402745995,0,True,False,10,0,8,2,4800.0,16,16,0,16,16,16,4800.0
hard,220007,54,539,0.34324942791762014,0.34324942791762014,0,True,False,10,0,10,0,6300.0,21,21,0,21,26,24,7354.0
hard,220008,53,524,1.4711098398169336,0.47110983981693366,1,True,False,10,0,10,0,6300.0,21,21,0,21,26,26,7800.0
hard,220009,54,533,0.1945080091533181,0.1945080091533181,0,True,False,10,0,10,0,7570.5,30,21,0,21,31,22,8175.0
hard,220010,57,566,0.287929061784897,0.287929061784897,0,True,False,10,0,10,0,6150.0,24,17,0,17,30,22,7702.5
hard,220011,51,510,0.3463386727688787,0.3463386727688787,0,True,False,10,0,10,0,6750.0,25,20,0,20,31,24,8111.0
hard,220012,55,548,0.23285469107551474,0.23285469107551474,0,True,False,10,0,10,0,7172.5,28,19,0,19,31,20,7808.5
hard,220013,54,538,0.30909610983981695,0.30909610983981695,0,True,False,10,0,10,0,6900.0,26,20,0,20,31,24,8194.5
hard,220014,55,547,1.3203661327231122,0.32036613272311215,1,True,False,10,0,10,0,6300.0,21,21,0,21,28,27,8233.0
hard,220015,76,755,1.3822654462242563,0.3822654462242563,1,True,False,10,0,10,0,6600.0,25,19,0,19,26,20,6900.0
hard,220016,55,545,0.2986842105263158,0.2986842105263158,0,True,False,10,0,10,0,6386.5,22,20,0,20,29,26,8263.5
hard,220017,55,547,0.18478260869565216,0.18478260869565216,0,True,False,10,0,8,2,6000.0,25,15,0,15,25,15,6000.0
hard,220018,54,537,0.32265446224256294,0.32265446224256294,0,True,False,10,0,10,0,7500.0,25,25,0,25,29,28,8473.5
hard,220019,54,533,0.47345537757437073,0.47345537757437073,0,True,False,10,0,10,0,5925.0,24,14,0,14,33,22,8381.0
hard,220020,56,553,0.30429061784897027,0.30429061784897027,0,True,False,10,0,10,0,6600.0,22,22,0,22,28,27,8231.95
hard,220021,55,549,0.38123569794050344,0.38123569794050344,0,True,False,10,0,10,0,5700.0,20,18,0,18,26,24,7500.0
hard,220022,52,513,0.2505720823798627,0.2505720823798627,0,True,False,10,0,6,4,3896.5,13,13,0,13,16,16,4800.0
hard,220023,55,547,0.37895308924485127,0.37895308924485127,0,True,False,10,0,10,0,5700.0,19,19,0,19,25,24,7272.8
hard,220024,56,556,1.4422196796338673,0.44221967963386727,1,True,False,10,0,10,0,6885.5,26,21,0,21,28,23,7650.0
hard,220025,55,544,0.2654462242562929,0.2654462242562929,0,True,False,10,0,10,0,6256.0,23,19,0,19,25,21,7080.0
hard,220026,55,550,0.26864988558352404,0.26864988558352404,0,True,False,10,0,10,0,7500.0,30,20,0,20,35,23,8865.15
hard,220027,54,536,1.4135011441647598,0.41350114416475975,1,True,False,10,0,10,0,7515.0,31,17,0,17,36,22,9015.0
hard,220028,55,550,0.18622425629290623,0.18622425629290623,0,True,False,10,0,10,0,7500.0,25,25,0,25,28,27,8154.6
hard,220029,54,531,0.21967963386727687,0.21967963386727687,0,True,False,10,0,10,0,5850.0,22,17,0,17,26,21,7050.0
hard,220030,56,554,1.3327803203661328,0.3327803203661327,1,True,False,10,0,10,0,6600.0,22,22,0,22,25,24,7462.5
hard,220031,57,565,0.3576659038901602,0.3576659038901602,0,True,False,10,0,9,1,5250.0,18,17,0,17,28,25,7786.5
hard,220032,54,534,0.1883867276887872,0.1883867276887872,0,True,False,10,0,5,5,3750.0,15,10,0,10,19,14,4950.0
hard,220033,54,536,1.496395881006865,0.496395881006865,1,True,False,10,0,9,1,6411.5,24,19,0,19,29,24,7950.0
hard,220034,60,593,1.4953318077803202,0.49533180778032027,1,True,False,10,0,10,0,5100.0,18,16,0,16,19,17,5400.0
hard,220035,54,540,0.31630434782608696,0.31630434782608696,0,True,False,10,0,10,0,7125.0,26,20,0,20,32,24,8412.5
hard,220036,55,549,0.3618993135011442,0.3618993135011442,0,True,False,10,0,10,0,7200.0,28,20,0,20,32,23,8198.0
hard,220037,58,574,2.516075514874142,0.5160755148741418,2,True,False,10,0,10,0,5790.0,23,17,0,17,28,21,7291.0
hard,220038,54,535,0.10983981693363844,0.10983981693363844,0,True,False,10,0,4,6,3000.0,15,5,0,5,16,6,3300.0
hard,220039,53,530,0.40446224256292906,0.40446224256292906,0,True,False,10,0,10,0,5325.0,22,12,0,12,26,15,6414.0
hard,220040,57,569,1.5163043478260867,0.5163043478260867,1,True,False,10,0,10,0,4800.0,16,16,0,16,23,22,6631.5
hard,220041,54,535,0.21252860411899313,0.21252860411899313,0,True,False,10,0,8,2,6000.0,20,20,0,20,24,24,7200.0
hard,220042,53,530,0.2673340961098398,0.2673340961098398,0,True,False,10,0,10,0,6450.0,26,17,0,17,29,19,7169.0
hard,220043,54,535,0.19851258581235698,0.19851258581235698,0,True,False,10,0,10,0,6223.0,21,21,0,21,22,22,6600.0
hard,220044,55,541,0.42528604118993135,0.42528604118993135,0,True,False,10,0,10,0,7500.0,30,20,0,20,37,27,9600.0
hard,220045,55,541,0.1904462242562929,0.1904462242562929,0,True,False,10,0,10,0,6787.5,25,22,0,22,27,24,7674.5
hard,220046,55,543,0.2786613272311213,0.2786613272311213,0,True,False,10,0,10,0,6815.0,24,22,0,22,29,24,7968.0
hard,220047,55,547,0.1715675057208238,0.1715675057208238,0,True,False,10,0,10,0,7185.0,27,20,0,20,29,22,7785.0
hard,220048,53,529,0.20080091533180777,0.20080091533180777,0,True,False,10,0,10,0,7411.0,29,20,0,20,33,23,8531.5
hard,220049,53,522,0.11910755148741418,0.11910755148741418,0,True,False,10,0,10,0,5560.0,19,19,0,19,22,22,6600.0
hard,220050,57,566,0.21967963386727687,0.21967963386727687,0,True,False,10,0,10,0,6300.0,21,21,0,21,29,24,7935.7
hard,220051,56,558,0.22696796338672756,0.22696796338672756,0,True,False,10,0,10,0,4950.0,20,13,0,13,25,17,6342.5
hard,220052,53,530,0.4350686498855835,0.4350686498855835,0,True,False,10,0,10,0,7725.0,30,20,0,20,35,22,8570.0
hard,220053,55,546,0.3406521739130435,0.3406521739130435,0,True,False,10,0,10,0,6449.0,26,19,0,19,29,21,7567.0
hard,220054,90,900,0.4750400457665903,0.4750400457665903,0,False,True,10,0,10,0,7500.0,30,20,0,20,37,25,9364.0
hard,220055,55,547,1.4257437070938215,0.42574370709382153,1,True,False,10,0,10,0,6000.0,20,20,0,20,25,25,7500.0
hard,220056,55,545,0.3410755148741419,0.3410755148741419,0,True,False,10,0,10,0,5675.5,19,19,0,19,26,25,7682.0
hard,220057,54,531,0.29662471395881007,0.29662471395881007,0,True,False,10,0,10,0,7590.0,31,19,0,19,33,21,8190.0
hard,220058,56,559,0.43587528604118997,0.43587528604118997,0,True,False,10,0,10,0,6453.0,22,22,0,22,28,26,8050.250000000001
hard,220059,55,543,0.3347826086956522,0.3347826086956522,0,True,False,10,0,10,0,6900.0,26,20,0,20,29,22,7787.0
hard,220060,55,550,0.31229977116704805,0.31229977116704805,0,True,False,10,0,10,0,7125.0,28,18,0,18,35,24,9072.0
hard,220061,54,539,0.31806636155606394,0.31806636155606394,0,True,False,10,0,10,0,6600.0,27,17,0,17,35,25,9000.0
hard,220062,55,547,1.4506636155606407,0.45066361556064066,1,True,False,10,0,10,0,6300.0,26,16,0,16,29,19,7200.0
hard,220063,56,554,0.26856979405034315,0.26856979405034315,0,True,False,10,0,10,0,6300.0,21,21,0,21,25,23,6945.5
hard,220064,56,560,0.22168192219679633,0.22168192219679633,0,True,False,10,0,10,0,7500.0,25,25,0,25,29,28,8624.0
hard,220065,55,543,0.28135011441647595,0.28135011441647595,0,True,False,10,0,10,0,6300.0,21,21,0,21,27,25,7612.0
hard,220066,55,547,0.2606979405034325,0.2606979405034325,0,True,False,10,0,10,0,6300.0,21,21,0,21,28,27,8198.0
hard,220067,56,551,0.2649313501144165,0.2649313501144165,0,True,False,10,0,10,0,6201.5,22,21,0,21,32,28,8848.2
hard,220068,57,562,1.511212814645309,0.5112128146453089,1,True,False,10,0,10,0,5400.0,18,18,0,18,30,28,8891.05
hard,220069,52,514,0.2084096109839817,0.2084096109839817,0,True,False,10,0,10,0,6900.0,23,23,0,23,24,24,7200.0
hard,220070,53,526,0.26252860411899315,0.26252860411899315,0,True,False,10,0,10,0,6630.0,26,17,0,17,30,20,7603.5
hard,220071,56,556,0.21967963386727687,0.21967963386727687,0,True,False,10,0,10,0,5933.0,23,17,0,17,28,21,7287.0
hard,220072,54,537,0.18237986270022882,0.18237986270022882,0,True,False,10,0,10,0,6600.0,22,22,0,22,26,25,7545.5
hard,220073,54,538,0.3250572082379863,0.3250572082379863,0,True,False,10,0,9,1,5629.5,22,17,0,17,28,21,7519.0
hard,220074,55,542,1.5757437070938214,0.5757437070938215,1,True,False,10,0,10,0,6557.5,26,19,0,19,31,22,7916.0
hard,220075,61,601,2.5148741418764304,0.5148741418764302,2,True,False,10,0,10,0,7200.0,30,18,0,18,35,23,8700.0
hard,220076,57,562,0.407986270022883,0.407986270022883,0,True,False,10,0,10,0,6600.0,27,17,0,17,29,19,7200.0
hard,220077,55,545,0.3907894736842105,0.3907894736842105,0,True,False,10,0,10,0,7500.0,25,25,0,25,32,32,9600.0
hard,220078,54,538,0.46995423340961096,0.46995423340961096,0,True,False,10,0,10,0,6300.0,21,21,0,21,28,27,8173.5
hard,220079,54,537,1.3447940503432494,0.34479405034324945,1,True,False,10,0,9,1,5595.0,19,18,0,18,22,20,6464.5
hard,220080,61,603,0.3684210526315789,0.3684210526315789,0,True,False,10,0,10,0,6083.0,21,21,0,21,27,25,7773.0
hard,220081,56,553,0.27625858123569796,0.27625858123569796,0,True,False,10,0,10,0,6300.0,21,21,0,21,26,24,7312.0
hard,220082,54,538,1.4809610983981694,0.48096109839816925,1,True,False,10,0,10,0,7500.0,25,25,0,25,27,27,8100.0
hard,220083,55,547,0.3112128146453089,0.3112128146453089,0,True,False,10,0,10,0,6900.0,26,20,0,20,34,24,8710.75
hard,220084,56,559,0.32511441647597256,0.32511441647597256,0,True,False,10,0,10,0,6450.0,22,21,0,21,25,25,7500.0
hard,220085,54,535,2.5878146453089244,0.5878146453089245,2,True,False,10,0,9,1,5250.0,18,17,0,17,21,20,6150.0
hard,220086,55,548,0.17637299771167048,0.17637299771167048,0,True,False,10,0,9,1,6750.0,25,20,0,20,30,24,8160.700000000001
hard,220087,55,549,0.32110983981693364,0.32110983981693364,0,True,False,10,0,10,0,6600.0,22,22,0,22,29,28,8547.0
hard,220088,54,538,1.3929633867276887,0.39296338672768877,1,True,False,10,0,10,0,6300.0,21,21,0,21,23,23,6900.0
hard,220089,55,546,0.3663443935926774,0.3663443935926774,0,True,False,10,0,10,0,6000.0,24,16,0,16,32,23,8149.0
hard,220090,51,502,0.14874141876430205,0.14874141876430205,0,True,False,10,0,4,6,3000.0,10,10,0,10,12,10,3066.5
hard,220091,54,531,0.09856979405034325,0.09856979405034325,0,True,False,10,0,5,5,3750.0,14,11,0,11,14,11,3750.0
hard,220092,54,534,0.25117848970251716,0.25117848970251716,0,True,False,10,0,10,0,6945.0,26,20,0,20,31,25,8445.0
hard,220093,56,557,0.2654462242562929,0.2654462242562929,0,True,False,10,0,9,1,6150.0,21,20,0,20,23,21,6663.85
hard,220094,58,573,1.554633867276888,0.5546338672768879,1,True,False,10,0,10,0,7500.0,30,20,0,20,34,24,8700.0
hard,220095,58,573,0.3112128146453089,0.3112128146453089,0,True,False,10,0,9,1,5550.0,21,16,0,16,26,19,6733.5
hard,220096,55,542,0.4638501144164759,0.4638501144164759,0,True,False,10,0,10,0,5700.0,19,19,0,19,25,24,7270.0
