profile,seed,steps,ticks,score,damage_pct,stars,terminated,truncated,wall_breakers_deployed,wall_breakers_alive_final,wall_breaker_explosions,wall_breakers_dead_without_explosion,wb_wall_damage,wb_unique_walls_damaged,wb_unique_walls_destroyed,wb_fresh_walls_destroyed,wb_predamaged_walls_destroyed,final_walls_damaged,final_walls_destroyed,total_wall_damage
medium,210000,75,748,4.0,1.0,3,True,False,10,0,10,0,7500.0,25,25,0,25,40,40,12000.0
medium,210001,54,537,4.0,1.0,3,True,False,10,2,8,0,4950.0,18,15,0,15,30,25,8055.0
medium,210002,57,570,4.0,1.0,3,True,False,10,0,10,0,5100.0,17,17,0,17,28,27,8397.5
medium,210003,66,651,2.932866043613707,0.9328660436137072,2,True,False,10,0,10,0,7500.0,25,25,0,25,41,40,12210.0
medium,210004,74,737,4.0,1.0,3,True,False,10,0,10,0,7500.0,25,25,0,25,35,34,10312.0
medium,210005,90,900,2.9376947040498442,0.9376947040498442,2,False,True,10,0,10,0,7500.0,30,20,0,20,47,36,12405.0
medium,210006,56,560,2.7118380062305296,0.7118380062305296,2,True,False,10,0,10,0,6600.0,22,22,0,22,50,48,14618.75
medium,210007,73,729,4.0,1.0,3,True,False,10,0,10,0,6000.0,23,17,0,17,54,46,14766.5
medium,210008,53,528,2.7063862928348907,0.706386292834891,2,True,False,10,0,10,0,7500.0,25,25,0,25,34,33,9945.5
medium,210009,55,549,4.0,1.0,3,True,False,10,2,8,0,6000.0,25,15,0,15,37,26,9594.0
medium,210010,55,547,2.7374610591900312,0.7374610591900311,2,True,False,10,0,10,0,6300.0,21,21,0,21,30,29,8770.0
medium,210011,54,531,4.0,1.0,3,True,False,10,0,10,0,7500.0,25,25,0,25,34,34,10200.0
medium,210012,52,520,0.3955607476635514,0.3955607476635514,0,True,False,10,0,9,1,5550.0,21,16,0,16,25,20,6750.0
medium,210013,58,571,0.41845794392523367,0.41845794392523367,0,True,False,10,0,10,0,6300.0,21,21,0,21,27,26,7873.5
medium,210014,54,539,0.23014018691588786,0.23014018691588786,0,True,False,10,0,10,0,7500.0,25,25,0,25,28,28,8400.0
medium,210015,72,716,4.0,1.0,3,True,False,10,0,10,0,5700.0,24,14,0,14,41,30,10517.5
medium,210016,44,434,4.0,1.0,3,True,False,2,0,2,0,1500.0,5,5,0,5,14,12,3977.6500000000005
medium,210017,56,560,4.0,1.0,3,True,False,10,0,9,1,6750.0,26,19,0,19,39,33,10800.0
medium,210018,54,536,2.6059968847352026,0.6059968847352025,2,True,False,10,0,10,0,7500.0,25,25,0,25,33,32,9610.5
medium,210019,54,536,2.9661214953271027,0.9661214953271028,2,True,False,10,0,10,0,7500.0,30,20,0,20,39,29,10200.0
medium,210020,62,618,1.635669781931464,0.6356697819314642,1,True,False,10,0,10,0,6300.0,21,21,0,21,28,27,8209.2
medium,210021,59,588,2.9376947040498442,0.9376947040498442,2,True,False,10,0,10,0,6300.0,21,21,0,21,38,37,11390.5
medium,210022,52,516,2.546884735202492,0.5468847352024923,2,True,False,10,0,10,0,5700.0,19,19,0,19,23,23,6900.0
medium,210023,58,580,4.0,1.0,3,True,False,10,0,10,0,6300.0,26,16,0,16,41,29,10403.0
medium,210024,58,574,2.5774143302180685,0.5774143302180685,2,True,False,10,0,10,0,7050.0,25,22,0,22,32,28,8968.300000000001
medium,210025,65,650,4.0,1.0,3,True,False,10,0,10,0,6900.0,26,20,0,20,37,28,9736.1
medium,210026,58,573,4.0,1.0,3,True,False,10,0,10,0,6300.0,21,21,0,21,28,27,8184.0
medium,210027,54,536,2.9034267912772584,0.9034267912772586,2,True,False,10,0,10,0,7050.0,27,20,0,20,34,26,9011.0
medium,210028,55,545,0.24523364485981303,0.24523364485981303,0,True,False,10,0,10,0,6300.0,21,21,0,21,23,23,6900.0
medium,210029,56,559,2.819704049844237,0.8197040498442367,2,True,False,10,0,10,0,5700.0,24,14,0,14,35,24,8969.5
medium,210030,90,900,2.996651090342679,0.9966510903426792,2,False,True,10,0,10,0,7500.0,25,25,0,25,58,55,16994.9
medium,210031,72,719,4.0,1.0,3,True,False,10,0,10,0,7500.0,25,25,0,25,38,38,11400.0
medium,210032,54,533,2.823208722741433,0.823208722741433,2,True,False,10,0,10,0,6600.0,27,17,0,17,31,20,7524.5
medium,210033,45,443,4.0,1.0,3,True,False,3,1,2,0,1500.0,5,5,0,5,21,19,6214.5
medium,210034,54,535,1.4563084112149531,0.45630841121495325,1,True,False,10,0,0,10,0.0,0,0,0,0,11,11,3300.0
medium,210035,80,793,2.859657320872274,0.8596573208722741,2,True,False,10,0,10,0,7500.0,25,25,0,25,32,31,9569.5
medium,210036,56,553,2.644034267912773,0.6440342679127727,2,True,False,10,0,10,0,7500.0,30,20,0,20,35,25,9000.0
medium,210037,53,528,2.5366043613707165,0.5366043613707165,2,True,False,10,0,10,0,6300.0,21,21,0,21,52,52,15600.0
medium,210038,56,557,4.0,1.0,3,True,False,10,0,10,0,7416.0,25,25,0,25,34,33,9954.6
medium,210039,48,473,4.0,1.0,3,True,False,4,0,4,0,3000.0,10,10,0,10,33,33,9900.0
medium,210040,44,432,4.0,1.0,3,True,False,2,0,2,0,1500.0,5,5,0,5,16,15,4531.5
medium,210041,90,900,2.8598130841121496,0.8598130841121495,2,False,True,10,0,10,0,7500.0,25,25,0,25,44,43,13194.0
medium,210042,57,562,4.0,1.0,3,True,False,10,0,10,0,6600.0,22,22,0,22,43,43,12900.0
medium,210043,50,495,4.0,1.0,3,True,False,8,1,7,0,4650.0,17,14,0,14,38,32,10664.95
medium,210044,58,574,2.801168224299065,0.8011682242990654,2,True,False,10,0,10,0,6900.0,23,23,0,23,32,31,9342.0
medium,210045,50,494,4.0,1.0,3,True,False,9,1,8,0,5870.0,25,16,0,16,38,29,10050.0
medium,210046,62,619,4.0,1.0,3,True,False,10,0,10,0,7409.0,30,20,0,20,43,33,11400.0
medium,210047,58,578,2.9088785046728973,0.9088785046728972,2,True,False,10,0,10,0,6600.0,26,18,0,18,41,31,10654.0
medium,210048,53,528,4.0,1.0,3,True,False,10,0,10,0,7500.0,25,25,0,25,40,39,11805.0
medium,210049,56,559,2.738006230529595,0.738006230529595,2,True,False,10,0,10,0,6900.0,23,23,0,23,31,30,9199.5
medium,210050,63,627,4.0,1.0,3,True,False,10,0,10,0,6000.0,23,17,0,17,47,38,12394.5
medium,210051,75,748,2.797507788161994,0.7975077881619937,2,True,False,10,0,10,0,5100.0,17,17,0,17,27,26,7950.5
medium,210052,73,724,2.9573208722741433,0.9573208722741433,2,True,False,10,0,10,0,7433.5,25,25,0,25,38,38,11400.0
medium,210053,46,452,4.0,1.0,3,True,False,2,0,2,0,1500.0,5,5,0,5,12,10,3343.0
medium,210054,57,564,4.0,1.0,3,True,False,10,0,10,0,7465.0,25,25,0,25,35,34,10445.0
medium,210055,71,703,4.0,1.0,3,True,False,10,0,10,0,7500.0,25,25,0,25,40,39,11990.5
medium,210056,52,516,2.816043613707165,0.8160436137071652,2,True,False,10,0,10,0,7500.0,25,25,0,25,32,29,8994.0
medium,210057,54,538,2.6386292834890965,0.6386292834890965,2,True,False,10,0,10,0,6300.0,21,21,0,21,38,37,11317.0
medium,210058,57,561,4.0,1.0,3,True,False,10,0,10,0,5400.0,18,18,0,18,34,32,9904.5
medium,210059,46,451,4.0,1.0,3,True,False,6,1,5,0,3750.0,15,10,0,10,26,21,7050.0
medium,210060,60,600,4.0,1.0,3,True,False,10,0,10,0,7472.0,25,25,0,25,37,36,10849.0
medium,210061,56,558,0.2144859813084112,0.2144859813084112,0,True,False,10,0,10,0,6300.0,21,21,0,21,25,24,7294.5
medium,210062,68,672,2.640809968847352,0.640809968847352,2,True,False,10,0,7,3,4650.0,18,13,0,13,28,22,7472.5
medium,210063,62,611,4.0,1.0,3,True,False,10,0,10,0,6300.0,21,21,0,21,36,35,10531.5
medium,210064,52,513,0.0,0.0,0,True,False,10,0,0,10,0.0,0,0,0,0,2,1,331.5
medium,210065,64,639,4.0,1.0,3,True,False,10,0,5,5,3750.0,15,10,0,10,46,40,12792.0
medium,210066,52,515,2.6648753894081,0.6648753894080996,2,True,False,10,0,10,0,6300.0,21,21,0,21,28,28,8400.0
medium,210067,58,577,2.800077881619938,0.8000778816199376,2,True,False,10,0,10,0,7500.0,25,25,0,25,33,33,9900.0
medium,210068,64,632,2.8411214953271027,0.8411214953271028,2,True,False,10,0,10,0,7500.0,25,25,0,25,33,31,9320.65
medium,210069,90,900,2.9470404984423677,0.9470404984423676,2,False,True,10,0,10,0,6900.0,26,20,0,20,33,27,9077.5
medium,210070,51,507,4.0,1.0,3,True,False,8,0,8,0,6000.0,20,20,0,20,29,29,8700.0
medium,210071,54,534,4.0,1.0,3,True,False,10,0,10,0,6300.0,26,16,0,16,35,25,9000.0
medium,210072,52,511,4.0,1.0,3,True,False,10,0,10,0,7500.0,25,25,0,25,39,37,11464.0
medium,210073,55,549,2.9376947040498442,0.9376947040498442,2,True,False,10,0,10,0,7500.0,30,20,0,20,42,30,10828.65
medium,210074,55,545,4.0,1.0,3,True,False,10,0,10,0,7175.0,25,24,0,24,47,46,13950.0
medium,210075,71,703,2.797507788161994,0.7975077881619937,2,True,False,10,0,10,0,6000.0,20,20,0,20,30,30,9000.0
medium,210076,53,529,2.6833333333333336,0.6833333333333333,2,True,False,10,0,10,0,6300.0,21,21,0,21,26,25,7570.0
medium,210077,86,852,4.0,1.0,3,True,False,10,0,10,0,6150.0,25,16,0,16,44,34,11714.5
medium,210078,50,492,4.0,1.0,3,True,False,6,1,5,0,3750.0,15,10,0,10,37,30,10166.5
medium,210079,58,571,4.0,1.0,3,True,False,10,0,10,0,6600.0,22,22,0,22,33,33,9900.0
medium,210080,54,532,4.0,1.0,3,True,False,10,0,2,8,1500.0,5,5,0,5,22,21,6331.5
medium,210081,58,579,2.8411214953271027,0.8411214953271028,2,True,False,10,0,10,0,7500.0,25,25,0,25,45,44,13256.0
medium,210082,76,754,2.550233644859813,0.5502336448598131,2,True,False,10,0,10,0,6300.0,21,21,0,21,33,32,9715.5
medium,210083,56,553,2.826791277258567,0.8267912772585669,2,True,False,10,0,10,0,7200.0,28,20,0,20,42,34,11400.0
medium,210084,90,900,2.9376947040498442,0.9376947040498442,2,False,True,10,0,10,0,7050.0,25,22,0,22,33,30,9450.0
medium,210085,60,593,0.29906542056074764,0.29906542056074764,0,True,False,10,0,10,0,6600.0,22,22,0,22,31,30,9168.0
medium,210086,53,526,2.797507788161994,0.7975077881619937,2,True,False,10,0,10,0,6300.0,21,21,0,21,38,36,11066.0
medium,210087,87,862,4.0,1.0,3,True,False,10,0,4,6,3225.0,15,5,0,5,34,24,8925.0
medium,210088,58,576,2.597741433021807,0.5977414330218068,2,True,False,10,0,10,0,6300.0,21,21,0,21,33,32,9792.5
medium,210089,84,840,2.5950155763239877,0.5950155763239875,2,True,False,10,0,10,0,7636.0,29,19,0,19,32,21,8285.0
medium,210090,57,568,1.5440031152647975,0.5440031152647975,1,True,False,10,0,10,0,7500.0,25,25,0,25,34,32,9901.0
medium,210091,59,587,2.9256230529595015,0.9256230529595015,2,True,False,10,0,10,0,7500.0,30,20,0,20,38,28,10107.5
medium,210092,69,681,0.42733644859813086,0.42733644859813086,0,True,False,10,0,10,0,7500.0,26,24,0,24,36,32,10082.0
medium,210093,74,732,2.970482866043614,0.9704828660436137,2,True,False,10,0,10,0,6600.0,27,17,0,17,39,28,10005.0
medium,210094,58,575,4.0,1.0,3,True,False,10,0,10,0,7011.0,28,20,0,20,38,29,9998.0
medium,210095,47,461,4.0,1.0,3,True,False,6,1,5,0,3450.0,13,10,0,10,33,28,9113.2
medium,210096,58,580,1.564252336448598,0.5642523364485982,1,True,False,10,0,10,0,5400.0,23,13,0,13,28,18,6900.0
medium,210097,49,488,4.0,1.0,3,True,False,6,1,5,0,3150.0,13,8,0,8,34,28,9382.0
medium,210098,58,573,0.4360591900311526,0.4360591900311526,0,True,False,10,0,10,0,5700.0,21,17,0,17,31,27,8700.0
medium,210099,56,558,4.0,1.0,3,True,False,10,0,10,0,7500.0,25,25,0,25,50,49,14752.5
medium,210100,70,693,2.8373052959501557,0.8373052959501558,2,True,False,10,0,9,1,6750.0,25,20,0,20,30,25,8250.0
medium,210101,57,570,2.797507788161994,0.7975077881619937,2,True,False,10,0,10,0,7500.0,25,25,0,25,36,35,10773.0
medium,210102,61,605,2.7640965732087226,0.7640965732087227,2,True,False,10,0,10,0,5850.0,23,16,0,16,35,28,9450.0
medium,210103,64,635,2.9034267912772584,0.9034267912772586,2,True,False,10,0,10,0,6600.0,22,22,0,22,38,36,10985.5
medium,210104,58,573,0.4415109034267913,0.4415109034267913,0,True,False,10,0,10,0,6000.0,21,19,0,19,26,24,7500.0
medium,210105,64,640,4.0,1.0,3,True,False,10,0,10,0,5100.0,17,17,0,17,34,34,10200.0
medium,210106,54,531,4.0,1.0,3,True,False,10,1,9,0,5850.0,20,19,0,19,31,30,9150.0
medium,210107,69,687,4.0,1.0,3,True,False,10,0,10,0,7500.0,30,20,0,20,42,32,11100.0
medium,210108,88,875,2.9376947040498442,0.9376947040498442,2,True,False,10,0,10,0,6300.0,21,21,0,21,38,37,11233.0
medium,210109,60,594,2.5763239875389408,0.5763239875389408,2,True,False,10,0,6,4,4500.0,15,15,0,15,41,40,12136.5
medium,210110,64,637,2.912484423676012,0.9124844236760121,2,True,False,10,0,10,0,6491.5,22,22,0,22,30,29,8889.0
medium,210111,37,362,4.0,1.0,3,True,False,0,0,0,0,0.0,0,0,0,0,3,2,806.5
medium,210112,53,524,4.0,1.0,3,True,False,10,0,10,0,6693.0,26,21,0,21,36,31,10050.0
medium,210113,57,567,0.4672897196261682,0.4672897196261682,0,True,False,10,0,10,0,6300.0,21,21,0,21,36,33,10239.5
