profile,seed,damage_pct,score,stars,steps,ticks,terminated,truncated
medium,300000,0.672429906542056,2.672429906542056,2,80,794,True,False
hard,300001,0.2625858123569794,0.2625858123569794,0,66,655,True,False
medium,300002,0.8607476635514019,2.8607476635514018,2,85,846,True,False
hard,300003,0.3835812356979405,0.3835812356979405,0,76,756,True,False
medium,300004,0.3095015576323987,0.3095015576323987,0,64,640,True,False
hard,300005,0.22013729977116706,0.22013729977116706,0,61,602,True,False
medium,300006,0.38302180685358256,0.38302180685358256,0,63,630,True,False
hard,300007,0.24536613272311214,0.24536613272311214,0,56,559,True,False
medium,300008,0.52702492211838,1.52702492211838,1,73,729,True,False
hard,300009,0.10835240274599542,0.10835240274599542,0,58,579,True,False
medium,300010,0.5535046728971963,2.5535046728971964,2,90,900,False,True
hard,300011,0.12517162471395882,0.12517162471395882,0,60,600,True,False
medium,300012,0.5467289719626168,1.546728971962617,1,64,636,True,False
hard,300013,0.3732837528604119,0.3732837528604119,0,75,744,True,False
medium,300014,0.4004127725856698,0.4004127725856698,0,74,734,True,False
hard,300015,0.29691075514874143,0.29691075514874143,0,62,615,True,False
medium,300016,0.7899532710280374,2.7899532710280375,2,73,722,True,False
hard,300017,0.12585812356979406,0.12585812356979406,0,63,629,True,False
medium,300018,0.3644859813084112,0.3644859813084112,0,65,643,True,False
hard,300019,0.06378718535469108,0.06378718535469108,0,76,759,True,False
medium,300020,0.6931464174454829,2.693146417445483,2,62,618,True,False
hard,300021,0.20966819221967964,0.20966819221967964,0,67,668,True,False
medium,300022,0.5115264797507788,2.5115264797507786,2,61,603,True,False
hard,300023,0.1647025171624714,0.1647025171624714,0,72,713,True,False
medium,300024,0.3433021806853583,0.3433021806853583,0,66,651,True,False
hard,300025,0.1301487414187643,0.1301487414187643,0,57,568,True,False
medium,300026,1.0,4.0,3,61,610,True,False
hard,300027,0.2685354691075515,0.2685354691075515,0,63,622,True,False
medium,300028,0.4381619937694704,0.4381619937694704,0,72,720,True,False
hard,300029,0.20520594965675057,0.20520594965675057,0,58,572,True,False
medium,300030,0.4554517133956386,0.4554517133956386,0,59,583,True,False
hard,300031,0.25085812356979403,0.25085812356979403,0,59,583,True,False
medium,300032,0.5969626168224299,2.59696261682243,2,84,833,True,False
hard,300033,0.23443363844393592,0.23443363844393592,0,68,673,True,False
medium,300034,0.6121495327102804,1.6121495327102804,1,90,900,False,True
hard,300035,0.25600686498855835,0.25600686498855835,0,63,629,True,False
medium,300036,0.29042056074766354,0.29042056074766354,0,63,622,True,False
hard,300037,0.20068649885583523,0.20068649885583523,0,65,645,True,False
medium,300038,0.275,0.275,0,63,626,True,False
hard,300039,0.2173340961098398,0.2173340961098398,0,66,652,True,False
medium,300040,0.40420560747663553,0.40420560747663553,0,58,578,True,False
hard,300041,0.22906178489702517,0.22906178489702517,0,60,596,True,False
medium,300042,0.6577881619937694,1.6577881619937695,1,82,815,True,False
hard,300043,0.2496567505720824,0.2496567505720824,0,65,641,True,False
medium,300044,0.4098909657320872,0.4098909657320872,0,63,625,True,False
hard,300045,0.3259153318077803,0.3259153318077803,0,81,810,True,False
medium,300046,0.949221183800623,2.9492211838006233,2,86,859,True,False
hard,300047,0.1362700228832952,0.1362700228832952,0,61,604,True,False
medium,300048,0.5722741433021807,1.5722741433021807,1,76,759,True,False
hard,300049,0.33918764302059495,0.33918764302059495,0,71,708,True,False
medium,300050,0.564018691588785,1.564018691588785,1,72,720,True,False
hard,300051,0.23575514874141876,0.23575514874141876,0,79,788,True,False
medium,300052,0.2526479750778816,0.2526479750778816,0,79,781,True,False
hard,300053,0.4109267734553776,0.4109267734553776,0,66,659,True,False
medium,300054,0.6555295950155763,2.6555295950155764,2,80,794,True,False
hard,300055,0.05045766590389016,0.05045766590389016,0,58,574,True,False
medium,300056,0.45397196261682243,0.45397196261682243,0,66,659,True,False
hard,300057,0.3306636155606407,0.3306636155606407,0,77,764,True,False
medium,300058,0.5674454828660436,1.5674454828660436,1,90,900,False,True
hard,300059,0.17986270022883294,0.17986270022883294,0,59,585,True,False
medium,300060,0.8141744548286605,2.8141744548286605,2,72,716,True,False
hard,300061,0.28941647597254005,0.28941647597254005,0,59,587,True,False
medium,300062,0.6544392523364486,2.6544392523364486,2,90,900,False,True
hard,300063,0.3715675057208238,0.3715675057208238,0,68,677,True,False
medium,300064,0.26791277258566976,0.26791277258566976,0,70,697,True,False
hard,300065,0.13066361556064074,0.13066361556064074,0,58,579,True,False
medium,300066,0.8943146417445483,1.8943146417445482,1,76,753,True,False
hard,300067,0.21121281464530892,0.21121281464530892,0,58,575,True,False
medium,300068,0.6050623052959502,1.60506230529595,1,70,695,True,False
hard,300069,0.3623569794050343,0.3623569794050343,0,90,900,False,True
medium,300070,0.6968847352024922,2.696884735202492,2,78,780,True,False
hard,300071,0.16521739130434782,0.16521739130434782,0,72,711,True,False
medium,300072,0.4969626168224299,0.4969626168224299,0,68,673,True,False
hard,300073,0.1784324942791762,0.1784324942791762,0,60,600,True,False
medium,300074,0.7674454828660436,2.7674454828660435,2,90,900,False,True
hard,300075,0.10943935926773456,0.10943935926773456,0,60,594,True,False
medium,300076,0.5010903426791278,1.5010903426791278,1,66,655,True,False
hard,300077,0.12185354691075514,0.12185354691075514,0,59,587,True,False
medium,300078,0.746183800623053,2.746183800623053,2,90,900,False,True
hard,300079,0.15434782608695652,0.15434782608695652,0,78,780,True,False
medium,300080,0.5228193146417446,2.522819314641745,2,64,640,True,False
hard,300081,0.2628146453089245,0.2628146453089245,0,60,596,True,False
medium,300082,0.3102803738317757,0.3102803738317757,0,60,595,True,False
hard,300083,0.323512585812357,0.323512585812357,0,68,678,True,False
medium,300084,0.34657320872274144,0.34657320872274144,0,66,659,True,False
hard,300085,0.19874141876430207,0.19874141876430207,0,59,590,True,False
medium,300086,0.5662772585669782,1.5662772585669782,1,90,892,True,False
hard,300087,0.16441647597254005,0.16441647597254005,0,74,738,True,False
medium,300088,0.40763239875389407,0.40763239875389407,0,71,708,True,False
hard,300089,0.12133867276887872,0.12133867276887872,0,57,564,True,False
medium,300090,0.33442367601246104,0.33442367601246104,0,75,745,True,False
hard,300091,0.2762013729977117,0.2762013729977117,0,68,679,True,False
medium,300092,0.3547507788161994,0.3547507788161994,0,64,633,True,False
hard,300093,0.1221395881006865,0.1221395881006865,0,56,553,True,False
medium,300094,0.4589563862928349,0.4589563862928349,0,65,644,True,False
