#{"t_start": 1779135060.2803037, "env_id": "None"}
r,l,t,profile,damage_pct,score,stars,ticks_elapsed,spell_casts,rage_casts,freeze_casts,useful_rage_casts,useful_freeze_casts,wasted_spell_casts,wasted_rage_casts,wasted_freeze_casts,spells_remaining,rage_bonus_damage_pct,rage_bonus_defense_damage_pct,rage_bonus_townhall_damage_pct,defense_damage_pct,townhall_damage_pct,defenses_destroyed,townhall_destroyed,frozen_threat_ticks,frozen_threat_damage_pct,spell_shaping_reward_total,objective_shaping_reward_total,rage_effect_reward_total,freeze_effect_reward_total,defense_damage_reward_total,townhall_damage_reward_total,defense_destroy_reward_total,townhall_destroy_reward_total,wasted_spell_penalty_total,unused_spell_penalty_total
0.536903,76,27.889545,hard,0.45926773455377573,0.45926773455377573,0,758,8,4,4,4,4,0,0,0,0,0.0015617848970251704,0.0037499999999999973,0.0,0.3609890109890108,0.0,2,False,92,0.07142605633802816,0.10011616696747994,0.05331868131868129,0.0005466247139588096,0.09956954225352113,0.04331868131868129,0.0,0.01,0.0,0.0,0.0
0.19278,84,52.893333,hard,0.12877574370709383,0.12877574370709383,0,831,8,4,4,4,4,0,0,0,0,0.0,0.0,0.0,0.3092032967032967,0.0,2,False,112,0.09683098591549295,0.1,0.0471043956043956,0.0,0.1,0.0371043956043956,0.0,0.01,0.0,0.0,0.0
1.685349,78,75.268879,hard,0.443220823798627,1.443220823798627,1,771,8,4,4,4,4,0,0,0,0,0.037002288329518816,0.010096153846153958,0.19109999999999605,0.38564560439560397,0.9999999999999959,2,True,96,0.08915492957746479,0.11295080091533159,0.20627747252747208,0.012950800915331587,0.1,0.04627747252747249,0.09999999999999959,0.01,0.05,0.0,0.0
0.294969,77,97.785806,hard,0.25617848970251716,0.25617848970251716,0,768,8,4,4,4,4,0,0,0,0,0.013815789473684023,0.010384615384615397,0.0,0.33516483516483464,0.0,2,False,56,0.04338028169014085,0.06537073758339504,0.050219780219780165,0.004835526315789408,0.06053521126760563,0.04021978021978016,0.0,0.01,0.0,0.0,0.0
0.514409,82,121.754389,hard,0.3618993135011442,0.3618993135011442,0,815,8,4,4,4,4,0,0,0,0,0.023684210526315835,0.0,0.0,0.23516483516483516,0.875,2,False,144,0.1132394366197183,0.10828947368421055,0.12571978021978025,0.008289473684210543,0.1,0.02821978021978022,0.08750000000000002,0.01,0.0,0.0,0.0
0.347656,76,144.396415,hard,0.26138443935926775,0.26138443935926775,0,753,8,4,4,4,4,0,0,0,0,0.016939359267734537,0.0,0.0,0.38035714285714284,0.0,2,False,96,0.08366197183098592,0.1059287757437071,0.05564285714285715,0.005928775743707087,0.1,0.045642857142857145,0.0,0.01,0.0,0.0,0.0
0.395222,73,171.124889,hard,0.33206521739130435,0.33206521739130435,0,725,8,4,4,4,4,0,0,0,0,0.0033638443935926714,0.008076923076923063,0.0,0.33468406593406563,0.0,2,False,78,0.06042253521126761,0.08549424694620814,0.050162087912087885,0.001177345537757435,0.0843169014084507,0.040162087912087883,0.0,0.01,0.0,0.0,0.0
0.362604,79,194.509934,hard,0.28272311212814644,0.28272311212814644,0,787,8,4,4,4,4,0,0,0,0,0.004565217391304357,0.0,0.0,0.34986263736263734,0.0,3,False,128,0.09848591549295775,0.10159782608695653,0.05698351648351648,0.0015978260869565248,0.1,0.04198351648351648,0.0,0.015,0.0,0.0,0.0
0.3075,78,217.139239,hard,0.234954233409611,0.234954233409611,0,775,8,4,4,4,4,0,0,0,0,0.005766590389016065,0.0,0.0,0.3168956043956044,0.0,2,False,95,0.07359154929577465,0.10201830663615563,0.04802747252747254,0.0020183066361556226,0.1,0.03802747252747254,0.0,0.01,0.0,0.0,0.0
0.348746,77,239.950799,hard,0.30778032036613273,0.30778032036613273,0,768,8,4,4,4,4,0,0,0,0,0.010572082379862771,0.0,0.0,0.20123626373626374,0.0,1,False,67,0.06855633802816902,0.08861748235407872,0.02914835164835165,0.00370022883295197,0.08491725352112675,0.02414835164835165,0.0,0.005,0.0,0.0,0.0
