#{"t_start": 1778878527.957164, "env_id": "None"}
r,l,t,damage_pct,score,stars,ticks_elapsed
0.402344,64,26.581112,0.4660436137071651,0.4660436137071651,0,637
1.445757,72,49.785358,0.5177570093457944,1.5177570093457944,1,720
2.777021,65,71.398756,0.8411214953271028,2.8411214953271027,2,641
0.326209,72,94.651338,0.39820872274143304,0.39820872274143304,0,720
0.312144,71,116.01838,0.38294392523364484,0.38294392523364484,0,708
0.353467,72,136.780708,0.42546728971962616,0.42546728971962616,0,720
2.754343,61,156.529216,0.8153426791277258,2.815342679127726,2,610
2.5111,72,183.058221,0.5830996884735202,2.5830996884735202,2,720
0.386956,72,204.314977,0.4589563862928349,0.4589563862928349,0,720
0.28503,55,220.910661,0.3393302180685358,0.3393302180685358,0,543
0.428115,59,239.349507,0.48621495327102804,0.48621495327102804,0,581
0.266443,66,258.780311,0.3322429906542056,0.3322429906542056,0,658
0.267775,56,275.25626,0.32297507788161994,0.32297507788161994,0,552
2.727075,71,295.093568,0.7979750778816199,2.79797507788162,2,709
0.373668,61,313.020215,0.4342679127725857,0.4342679127725857,0,606
0.126753,55,333.605676,0.18115264797507788,0.18115264797507788,0,544
1.558812,68,353.60363,0.6260124610591901,1.6260124610591902,1,672
2.630335,71,374.858547,0.7009345794392523,2.7009345794392523,2,706
1.435243,72,396.265933,0.5072429906542056,1.5072429906542055,1,720
1.461498,54,412.557593,0.5154984423676012,1.5154984423676012,1,540
0.38815,66,431.630629,0.45404984423676015,0.45404984423676015,0,659
2.48763,68,450.800902,0.5555295950155763,2.5555295950155763,2,679
0.254814,64,468.59113,0.31861370716510906,0.31861370716510906,0,638
1.494355,72,492.235357,0.5663551401869159,1.566355140186916,1,720
0.362346,72,511.518963,0.43434579439252335,0.43434579439252335,0,720
1.502907,61,528.457521,0.5637071651090343,1.5637071651090344,1,608
2.640227,72,547.117064,0.7122274143302181,2.712227414330218,2,720
0.341764,56,562.764252,0.39766355140186915,0.39766355140186915,0,559
0.394589,72,582.925425,0.46658878504672896,0.46658878504672896,0,720
0.358374,72,603.337448,0.43037383177570093,0.43037383177570093,0,720
1.607361,72,626.986437,0.6793613707165109,1.679361370716511,1,720
2.770679,72,645.900246,0.8426791277258567,2.842679127725857,2,720
2.831427,72,665.562589,0.9034267912772586,2.9034267912772584,2,720
1.520679,72,685.65114,0.5926791277258567,1.5926791277258567,1,720
2.600817,62,702.238323,0.6626168224299065,2.6626168224299063,2,618
0.357603,62,719.146571,0.4190031152647975,0.4190031152647975,0,614
2.728234,72,738.884765,0.8002336448598131,2.800233644859813,2,720
1.456583,72,758.206269,0.528582554517134,1.528582554517134,1,720
1.650608,72,877.034359,0.7225077881619938,1.7225077881619937,1,719
2.681932,59,893.488282,0.7407320872274143,2.740732087227414,2,588
0.153821,54,909.111825,0.2073208722741433,0.2073208722741433,0,535
1.523626,71,930.118418,0.594626168224299,1.594626168224299,1,710
0.241851,55,945.872649,0.2966510903426791,0.2966510903426791,0,548
0.344486,62,961.99743,0.40638629283489097,0.40638629283489097,0,619
2.618966,72,981.728269,0.6909657320872274,2.6909657320872276,2,720
2.805025,72,1000.658394,0.87702492211838,2.87702492211838,2,720
0.260861,69,1025.577793,0.3293613707165109,0.3293613707165109,0,685
2.683919,72,1045.971293,0.7559190031152648,2.755919003115265,2,720
0.222483,65,1064.028136,0.28738317757009346,0.28738317757009346,0,649
2.890227,72,1084.070282,0.9622274143302181,2.962227414330218,2,720
2.608281,61,1101.016182,0.6690809968847352,2.6690809968847353,2,608
2.792564,72,1122.818462,0.8645638629283489,2.8645638629283487,2,720
0.288125,72,1143.090779,0.3601246105919003,0.3601246105919003,0,720
2.437648,65,1165.768661,0.5026479750778816,2.5026479750778816,2,650
1.65705,72,1186.64485,0.7290498442367601,1.7290498442367601,1,720
1.456899,60,1204.060736,0.5161993769470405,1.5161993769470405,1,593
2.827844,72,1224.384762,0.8998442367601246,2.8998442367601247,2,720
0.33358,60,1242.122485,0.39338006230529593,0.39338006230529593,0,598
2.824573,72,1262.010017,0.8965732087227415,2.8965732087227414,2,720
1.616396,72,1283.290644,0.6883956386292834,1.6883956386292835,1,720
1.541707,72,1304.077117,0.6137071651090342,1.6137071651090342,1,720
2.699262,72,1328.943378,0.7712616822429906,2.7712616822429905,2,720
2.740072,72,1348.466928,0.8120716510903426,2.8120716510903425,2,720
2.583607,72,1369.961499,0.655607476635514,2.655607476635514,2,720
2.599885,72,1389.665629,0.6718847352024923,2.671884735202492,2,720
2.723171,72,1409.78463,0.7951713395638629,2.795171339563863,2,720
2.533763,72,1430.44319,0.6057632398753894,2.6057632398753894,2,720
0.339059,72,1450.210367,0.41105919003115265,0.41105919003115265,0,720
1.477377,72,1474.037001,0.5493769470404984,1.5493769470404986,1,720
0.085319,54,1489.325781,0.13901869158878505,0.13901869158878505,0,537
0.347548,72,1509.550428,0.4195482866043614,0.4195482866043614,0,720
2.900118,72,1530.681808,0.9721183800623053,2.972118380062305,2,720
1.637346,72,1551.238119,0.7093457943925233,1.7093457943925232,1,720
0.37455,63,1569.302005,0.4371495327102804,0.4371495327102804,0,626
0.305349,57,1585.611285,0.3614485981308411,0.3614485981308411,0,561
2.630492,72,1610.624443,0.7024922118380063,2.702492211838006,2,720
0.43135,56,1626.643603,0.4871495327102804,0.4871495327102804,0,558
0.405208,68,1749.422117,0.4725077881619938,0.4725077881619938,0,673
2.772782,72,1769.658378,0.8447819314641745,2.8447819314641745,2,720
2.787121,71,1790.245594,0.8573208722741433,2.857320872274143,2,702
1.71836,69,1809.094016,0.7867601246105919,1.7867601246105917,1,684
0.374493,71,1828.657621,0.44509345794392524,0.44509345794392524,0,706
0.345835,72,1850.379843,0.41783489096573206,0.41783489096573206,0,720
1.444822,72,1875.305114,0.516822429906542,1.516822429906542,1,720
0.42691,72,1895.877376,0.4989096573208723,0.4989096573208723,0,720
1.590383,72,1915.560071,0.6623831775700935,1.6623831775700935,1,720
1.462705,58,1931.868981,0.520404984423676,1.520404984423676,1,577
2.620624,64,1949.991715,0.684423676012461,2.684423676012461,2,638
3.9397,61,1966.539285,1.0,4.0,3,603
