#{"t_start": 1779077250.7570078, "env_id": "None"}
r,l,t,profile,damage_pct,score,stars,ticks_elapsed,spell_casts,rage_casts,freeze_casts,useful_rage_casts,useful_freeze_casts,wasted_spell_casts,wasted_rage_casts,wasted_freeze_casts,spells_remaining,rage_bonus_damage_pct,frozen_threat_ticks,spell_shaping_reward_total,rage_effect_reward_total,freeze_effect_reward_total,wasted_spell_penalty_total,unused_spell_penalty_total
2.705068,88,26.893797,medium,0.7043302180685359,2.704330218068536,2,879,4,2,2,2,2,0,0,0,0,0.0042523364485981775,44,0.08863785046728972,0.0006378504672897267,0.088,0.0,0.0
0.435668,82,50.829096,medium,0.41736760124610595,0.41736760124610595,0,817,4,2,2,2,2,0,0,0,0,0.0,58,0.1,0.0,0.1,0.0,0.0
0.19547,57,67.245064,medium,0.1550467289719627,0.1550467289719627,0,570,4,2,2,2,2,0,0,0,0,0.009485981308411318,48,0.0974228971962617,0.0014228971962616977,0.096,0.0,0.0
2.677256,84,91.765063,medium,0.6630841121495323,2.6630841121495323,2,833,4,2,2,2,2,0,0,0,0,0.00981308411214911,48,0.09747196261682237,0.0014719626168223662,0.096,0.0,0.0
2.678951,64,110.309489,medium,0.6609813084112149,2.660981308411215,2,636,4,2,2,2,2,0,0,0,0,0.010467289719626105,40,0.08157009345794393,0.0015700934579439157,0.08000000000000002,0.0,0.0
0.326078,61,127.033833,medium,0.2866043613707165,0.2866043613707165,0,603,4,2,2,2,2,0,0,0,0,0.02515576323987545,48,0.09977336448598131,0.0037733644859813177,0.096,0.0,0.0
2.924546,80,154.927399,medium,0.9034267912772586,2.9034267912772584,2,791,4,2,2,2,2,0,0,0,0,0.028130841121495578,48,0.10021962616822434,0.004219626168224336,0.096,0.0,0.0
2.759127,89,180.090001,medium,0.7483644859813084,2.7483644859813086,2,885,4,2,2,2,2,0,0,0,0,0.021752336448597195,48,0.09926285046728958,0.003262850467289579,0.096,0.0,0.0
0.49593,79,202.411805,medium,0.4921339563862928,0.4921339563862928,0,784,4,2,2,2,2,0,0,0,0,0.0013084112149532854,41,0.082196261682243,0.0001962616822429928,0.08200000000000002,0.0,0.0
2.614632,61,219.500173,medium,0.5729750778816199,2.57297507788162,2,606,4,2,2,2,2,0,0,0,0,0.01504672897196272,64,0.10225700934579442,0.0022570093457944082,0.1,0.0,0.0
