#{"t_start": 1779123279.0961702, "env_id": "None"}
r,l,t,profile,damage_pct,score,stars,ticks_elapsed,spell_casts,rage_casts,freeze_casts,useful_rage_casts,useful_freeze_casts,wasted_spell_casts,wasted_rage_casts,wasted_freeze_casts,spells_remaining,rage_bonus_damage_pct,rage_bonus_defense_damage_pct,rage_bonus_townhall_damage_pct,defense_damage_pct,townhall_damage_pct,defenses_destroyed,townhall_destroyed,frozen_threat_ticks,frozen_threat_damage_pct,spell_shaping_reward_total,objective_shaping_reward_total,rage_effect_reward_total,freeze_effect_reward_total,defense_damage_reward_total,townhall_damage_reward_total,defense_destroy_reward_total,townhall_destroy_reward_total,wasted_spell_penalty_total,unused_spell_penalty_total
1.612643,62,9.035084,hard,0.3981292906178489,1.3981292906178489,1,617,4,2,2,2,2,0,0,0,0,0.008197940503432498,0.0008653846153846252,0.04566666666666667,0.2292994505494505,0.9999999999999978,2,True,69,0.0684375,0.08869740417620137,0.18751593406593386,0.002869279176201374,0.08582812499999999,0.027515934065934066,0.09999999999999977,0.01,0.05,0.0,0.0
0.316639,62,18.108417,hard,0.23135011441647596,0.23135011441647596,0,617,4,2,2,2,2,0,0,0,0,0.0,0.0,0.0,0.30824175824175826,0.0,2,False,71,0.09330357142857143,0.1,0.04698901098901098,0.0,0.1,0.03698901098901098,0.0,0.01,0.0,0.0,0.0
0.307948,56,25.989163,hard,0.23561784897025162,0.23561784897025162,0,557,4,2,2,2,2,0,0,0,0,0.0031235697940502085,0.0,0.0,0.28598901098901097,0.0,2,False,67,0.06549107142857143,0.08371155299934614,0.04431868131868132,0.001093249427917573,0.08261830357142858,0.03431868131868132,0.0,0.01,0.0,0.0,0.0
0.40922,56,34.550746,hard,0.3076315789473685,0.3076315789473685,0,557,4,2,2,2,2,0,0,0,0,0.00768878718535474,0.018461538461538578,0.0,0.4914010989010981,0.0,3,False,58,0.06883928571428571,0.08332053980058844,0.07396813186813175,0.002691075514874159,0.08062946428571428,0.05896813186813175,0.0,0.015,0.0,0.0,0.0
2.830442,59,42.782274,hard,0.5794622425629291,2.579462242562929,2,583,4,2,2,2,2,0,0,0,0,0.0015617848970251704,0.0,0.0,0.48475274725274725,1.0,4,True,58,0.06875,0.08110912471395881,0.22817032967032969,0.0005466247139588096,0.08056250000000001,0.058170329670329673,0.1,0.02,0.05,0.0,0.0
0.427318,59,51.431056,hard,0.337070938215103,0.337070938215103,0,584,4,2,2,2,2,0,0,0,0,0.018878718535469154,0.0,0.0,0.3148351648351648,0.0,2,False,72,0.07767857142857143,0.10086648005884277,0.04778021978021978,0.0066075514874142025,0.09425892857142856,0.03778021978021978,0.0,0.01,0.0,0.0,0.0
0.348635,61,60.000844,hard,0.2784897025171625,0.2784897025171625,0,603,4,2,2,2,2,0,0,0,0,0.0,0.0,0.0,0.28296703296703296,0.0,1,False,68,0.07665178571428571,0.09148883928571427,0.03895604395604395,0.0,0.09148883928571427,0.03395604395604395,0.0,0.005,0.0,0.0,0.0
0.341246,61,68.48103,hard,0.24887299771167043,0.24887299771167043,0,603,4,2,2,2,2,0,0,0,0,0.007088100686498933,0.0008653846153846252,0.0,0.33493131868131865,0.0,2,False,88,0.09642857142857143,0.10248083524027463,0.05019175824175822,0.002480835240274627,0.1,0.04019175824175822,0.0,0.01,0.0,0.0,0.0
0.313545,60,85.958003,hard,0.2437070938215103,0.2437070938215103,0,593,4,2,2,2,2,0,0,0,0,0.008529748283752909,0.020480769230769347,0.0,0.3302197802197792,0.0,2,False,59,0.06270089285714285,0.07951108154217067,0.04962637362637352,0.002985411899313518,0.07652566964285715,0.039626373626373515,0.0,0.01,0.0,0.0,0.0
0.456466,64,95.303876,hard,0.391304347826087,0.391304347826087,0,639,4,2,2,2,2,0,0,0,0,0.0012013729977116837,0.0028846153846154164,0.0,0.3787087912087912,0.0,3,False,48,0.05892857142857143,0.06861690912062766,0.060445054945054935,0.0004204805491990893,0.06819642857142857,0.045445054945054936,0.0,0.015,0.0,0.0,0.0
0.429229,71,105.945833,hard,0.37963386727688786,0.37963386727688786,0,701,4,2,2,2,2,0,0,0,0,0.00024027459954232378,0.0,0.0,0.41703296703296705,0.0,3,False,34,0.05008928571428571,0.054651060395554105,0.06504395604395605,8.409610983981331e-05,0.05456696428571429,0.05004395604395605,0.0,0.015,0.0,0.0,0.0
0.251077,58,113.983657,hard,0.18478260869565216,0.18478260869565216,0,572,4,2,2,2,2,0,0,0,0,0.0,0.0,0.0,0.15412087912087913,0.0,1,False,96,0.10821428571428572,0.1,0.023494505494505494,0.0,0.1,0.018494505494505493,0.0,0.005,0.0,0.0,0.0
0.299459,57,121.709183,hard,0.2222254004576659,0.2222254004576659,0,562,4,2,2,2,2,0,0,0,0,0.003003432494279209,0.007211538461538541,0.0,0.2863324175824173,0.0,1,False,71,0.07669642857142857,0.09407352280156914,0.03935989010989007,0.0010512013729977233,0.09302232142857142,0.03435989010989007,0.0,0.005,0.0,0.0,0.0
1.723663,57,130.10954,hard,0.4718478260869566,1.4718478260869565,1,570,4,2,2,2,2,0,0,0,0,0.019221967963386894,0.019903846153846334,0.06370000000000044,0.4736126373626365,0.9999999999999968,3,True,61,0.06633928571428571,0.08698215307289969,0.22183351648351607,0.006727688787185412,0.08025446428571428,0.05683351648351638,0.09999999999999969,0.015,0.05,0.0,0.0
1.714764,64,139.448849,hard,0.5977688787185355,1.5977688787185356,1,631,4,2,2,2,2,0,0,0,0,0.024702517162471023,0.019505494505494502,0.0,0.6098901098901113,0.203,5,False,33,0.048616071428571425,0.06160793457829343,0.11848681318681334,0.008645881006864857,0.05296205357142857,0.07318681318681335,0.0203,0.025,0.0,0.0,0.0
0.360107,63,148.412999,hard,0.2836327231121277,0.2836327231121277,0,621,4,2,2,2,2,0,0,0,0,0.013695652173912633,0.0014423076923076933,0.0,0.28021978021978017,0.0,2,False,66,0.07620535714285714,0.09494749611801227,0.04362637362637361,0.004793478260869421,0.09015401785714285,0.03362637362637361,0.0,0.01,0.0,0.0,0.0
